"wk";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"1";"2719";"3546";"3126";"2675";"3106";"3564";"3051";"2946";"3011";"3333";"2871";"2746";"2802";"2949";"3094";"2767";"2917";"2930";"2947";"2766";"3255";"3173";"3568";"3343";"3062";"3104"
"2";"2823";"3257";"3290";"2558";"3005";"3438";"2852";"3145";"2987";"3333";"2808";"2834";"2837";"3045";"3215";"2830";"2819";"2773";"3038";"2819";"3429";"3075";"3637";"3359";"3262";"3365"
"3";"2609";"2970";"3249";"2418";"2918";"3307";"2907";"3032";"2981";"3055";"2845";"2770";"2694";"2928";"3408";"2846";"2624";"2785";"3011";"2740";"3377";"3062";"3487";"3364";"3152";"3157"
"4";"2664";"2855";"3185";"2530";"2866";"3203";"3031";"3079";"2963";"2921";"2813";"2747";"2680";"2773";"3218";"2865";"2620";"2789";"3082";"2710";"3353";"3201";"3626";"3322";"3179";"3046"
"5";"2577";"2992";"3061";"2691";"2972";"2967";"2928";"2938";"2821";"2907";"2906";"2838";"2717";"2733";"3161";"2858";"2728";"2815";"3192";"2708";"3322";"3103";"3574";"3403";"3139";"3163"
"6";"2536";"3089";"3012";"2615";"3105";"2835";"2861";"2859";"2745";"2751";"3001";"2819";"2718";"2676";"3165";"2831";"2675";"3034";"3143";"2855";"3272";"3036";"3446";"3513";"3183";"3194"
"7";"2551";"3046";"2980";"2695";"3123";"2773";"2761";"2778";"2736";"2692";"3094";"2841";"2716";"2703";"2877";"2900";"2621";"3089";"3033";"2796";"3311";"3027";"3417";"3660";"3254";"3199"
"8";"2510";"2887";"2807";"2719";"3134";"2869";"2685";"2957";"2923";"2746";"3197";"2856";"2706";"2821";"2854";"2929";"2651";"3035";"3211";"2753";"3381";"3319";"3328";"3691";"3220";"2959"
"9";"2490";"2878";"2792";"2627";"3241";"2673";"2749";"3231";"3021";"2722";"3351";"2880";"2829";"2775";"2713";"2757";"2686";"3061";"3170";"2713";"3207";"3185";"3152";"3937";"3065";"3098"
"10";"2770";"2714";"2640";"2812";"3078";"2690";"2896";"3015";"2991";"2720";"3277";"2920";"2828";"2840";"2599";"2760";"2714";"2951";"3293";"2763";"3222";"3151";"3054";"4092";"3172";"3106"
"11";"2800";"2807";"2529";"2876";"2797";"2673";"2812";"3088";"2983";"2649";"3089";"2762";"2650";"2718";"2621";"2686";"2727";"2891";"3039";"2770";"3086";"3062";"2843";"3733";"3225";"3219"
"12";"2786";"2784";"2467";"2991";"2824";"2533";"2837";"2938";"2898";"2740";"2961";"2920";"2642";"2664";"2619";"2687";"2686";"2817";"3038";"2662";"3052";"3028";"2778";"3430";"3043";"3615"
"13";"2634";"2727";"2483";"2984";"2713";"2554";"2774";"2903";"2914";"2639";"2765";"2867";"2662";"2700";"2575";"2586";"2739";"2793";"3067";"2690";"3084";"3037";"2850";"3225";"3013";"4459"
"14";"2717";"2765";"2546";"3107";"2671";"2690";"2794";"2795";"2948";"2743";"2670";"2646";"2528";"2712";"2639";"2472";"2592";"2805";"2974";"2707";"2839";"3010";"2764";"3040";"2898";"5084"
"15";"2645";"2642";"2451";"2910";"2533";"2687";"2752";"2874";"2730";"2560";"2615";"2743";"2615";"2643";"2621";"2583";"2652";"2757";"3059";"2592";"2888";"2767";"2810";"2860";"2902";"4980"
"16";"2691";"2856";"2455";"2900";"2646";"2705";"2590";"2778";"2924";"2648";"2566";"2684";"2547";"2675";"2617";"2581";"2694";"2786";"2859";"2609";"2893";"2751";"2713";"2760";"3036";"4305"
"17";"2645";"2703";"2649";"2768";"2636";"2647";"2712";"2780";"2844";"2541";"2530";"2576";"2619";"2585";"2429";"2570";"2591";"2773";"2727";"2610";"2829";"2742";"2778";"2663";"2956";"3907"
"18";"2628";"2498";"2646";"2692";"2674";"2554";"2685";"2638";"2577";"2548";"2564";"2559";"2493";"2566";"2369";"2536";"2543";"2609";"2560";"2528";"2674";"2754";"2769";"2645";"2806";"3379"
